onset,time,hcom_velocity,hip_angle,knee_angle,hip_torque,knee_torque
0,2.105,-0.00588411,58.36815331,81.73037897,-0.476529940310078,0.06487458248062
0,2.11,-0.00596224,58.3609057,81.72698739,-0.476252386666667,0.064617727131783
0,2.115,-0.0060425,58.36177878,81.72652022,-0.475969471007752,0.06433943627907
0,2.12,-0.00612366,58.36212723,81.72620725,-0.475669394263566,0.064038006046512
0,2.125,-0.00620419,58.35404508,81.72196579,-0.475343396899225,0.063712908372093
0,2.13,-0.00628225,58.35482269,81.72171532,-0.474987431937984,0.063365078139535
0,2.135,-0.00635576,58.35539649,81.72127219,-0.474604269457364,0.062997302325581
0,2.14,-0.00642239,58.34515222,81.71616466,-0.474204599069767,0.062614049147287
0,2.145,-0.00647974,58.34578166,81.7159023,-0.473804939844961,0.062220913023256
0,2.15,-0.00652531,58.33764424,81.71361364,-0.473424313488372,0.061823830697675
0,2.155,-0.00655667,58.33810959,81.71362636,-0.473078094108527,0.061426388527132
0,2.16,-0.00657146,58.33886947,81.71305308,-0.472772829612403,0.061028555193799
0,2.165,-0.00656749,58.32387399,81.70713535,-0.472505407286822,0.060627992093023
0,2.17,-0.00654292,58.32468534,81.70683655,-0.472264755813954,0.060221242635659
0,2.175,-0.00649628,58.32476933,81.70900175,-0.472035818914729,0.059804823100775
0,2.18,-0.00642663,58.30939337,81.7042615,-0.471804725581395,0.059376784186047
0,2.185,-0.00633366,58.3098828,81.70369553,-0.471561941085271,0.05893761379845
0,2.19,-0.0062177,58.30798009,81.7038532,-0.471302539534884,0.058489328527132
0,2.195,-0.00607982,58.29120639,81.69914079,-0.47102334496124,0.058032921395349
0,2.2,-0.00592182,58.29115193,81.70083354,-0.470719094263566,0.057566495193799
0,2.205,-0.00574627,58.28944666,81.699927,-0.470383162015504,0.05708686372093
0,2.21,-0.00555643,58.28981931,81.69944031,-0.470012707751938,0.056593230697675
0,2.215,-0.00535624,58.27094089,81.69654681,-0.469613469147287,0.056089296744186
0,2.22,-0.0051503,58.27013676,81.69705541,-0.469202916744186,0.055583877829457
0,2.225,-0.00494379,58.26802881,81.69677285,-0.468810604341085,0.055090127131783
0,2.23,-0.00474235,58.26499033,81.69629623,-0.468474359069768,0.054623460620155
0,2.235,-0.00455191,58.26422648,81.69681312,-0.46823335131783,0.054199371627907
0,2.24,-0.00437858,58.26084338,81.6962839,-0.468120748217054,0.053831797054264
0,2.245,-0.00422856,58.25506375,81.69629476,-0.468158215193798,0.05353169751938
0,2.25,-0.00410804,58.24837616,81.69739646,-0.468351496434109,0.053304857829457
0,2.255,-0.0040231,58.24811676,81.69766168,-0.468689744186047,0.053151370542636
0,2.26,-0.0039795,58.24623211,81.69842274,-0.469147541550388,0.053066538914729
0,2.265,-0.0039825,58.24552841,81.69903547,-0.469688601860465,0.053042351937985
0,2.27,-0.00403665,58.24582495,81.69882819,-0.470268954883721,0.053068399534884
0,2.275,-0.00414562,58.24441673,81.70091577,-0.470838370542636,0.053132221860465
0,2.28,-0.00431208,58.24467562,81.70071621,-0.471341710697674,0.05321975379845
0,2.285,-0.00453758,58.24506981,81.70055943,-0.471721177829457,0.053314852248062
0,2.29,-0.00482256,58.2431448,81.70422589,-0.471922631007752,0.053399743875969
0,2.295,-0.0051663,58.24357997,81.70394282,-0.47190583875969,0.053457181550388
0,2.3,-0.00556702,58.243969,81.70378055,-0.471654317054264,0.053474302635659
0,2.305,-0.00602191,58.23043344,81.70684718,-0.471178405736434,0.053445034108527
0,2.31,-0.00652725,58.23103031,81.70661105,-0.470513584341085,0.053370334883721
0,2.315,-0.00707842,58.23153461,81.70710919,-0.469716806821705,0.053258030077519
0,2.32,-0.00766992,58.22966504,81.71344611,-0.468858724031008,0.053121285891473
0,2.325,-0.0082954,58.22194263,81.70903677,-0.46801344744186,0.052975883255814
0,2.33,-0.00894769,58.22256344,81.70924868,-0.467247167286822,0.052836902015504
